Thématique_POI;Sous_thème_POI;Icone_représentation_visuelle
Commerce;Commerce;/Logos_POI/logo_commerce_service.jpg
Culture et social;Culture et social;/Logos_POI/logo_culture_social.jpg
Gastronomie;Gastronomie;/Logos_POI/logo_terroir.jpg
Itinéraire touristique;Itinéraire touristique;/Logos_POI/logo_itineraire.jpg
Itinéraire touristique;Itinéraire cyclable;/Logos_POI/logo_velo.jpg
Itinéraire touristique;Itinéraire pédestre;/Logos_POI/logo_marche_√†_pied.jpg
Itinéraire touristique;Itinéraire routier;/Logos_POI/logo_voiture.jpg
Loisir;Loisir;/Logos_POI/logo_loisir.jpg
Patrimoine;Patrimoine;/Logos_POI/logo_patrimoine.jpg
Restauration/Bar a theme;Restauration;/Logos_POI/logo_restauration.jpg
Restauration/Bar a theme;Restauration rapide;/Logos_POI/logo_restauration_rapide.jpg
Site naturel;Site naturel;/Logos_POI/logo_site_naturel.jpg
Sport;Sport;/Logos_POI/logo_sports.jpg